ArrayExpress.Accession	PubMed.ID	ForeName LastName	order
E-GEOD-57837	25124037	Shuhei Kobayashi	3
E-GEOD-57837	25124037	Takayuki Isagawa	4
E-GEOD-57837	25124037	Atsushi Okuma	5
E-GEOD-57837	25124037	Ichiro Manabe	6
E-GEOD-57837	25124037	Takashi MaruYama	7
E-GEOD-57959	25146988	Shylaja M Hegde	1
E-GEOD-57959	25146988	Kiran Srivastava	2
E-GEOD-57959	25146988	Ekta Tiwary	3
E-GEOD-57959	25146988	Om P Srivastava	4
E-GEOD-58498	25002228	Volker Busskamp	1
E-GEOD-58498	25002228	Jacek Krol	2
E-GEOD-58498	25002228	Dasha Nelidova	3
E-GEOD-58498	25002228	Janine Daum	4
E-GEOD-58498	25002228	Tamas Szikra	5
E-GEOD-58498	25002228	Ben Tsuda	6
E-GEOD-58498	25002228	Josephine Jüttner	7
E-GEOD-58498	25002228	Karl Farrow	8
E-GEOD-58498	25002228	Brigitte Gross Scherf	9
E-GEOD-58498	25002228	Claudia Patricia Patino Alvarez	10
E-GEOD-58498	25002228	Christel Genoud	11
E-GEOD-58498	25002228	Vithiyanjali Sothilingam	12
E-GEOD-58498	25002228	Naoyuki Tanimoto	13
E-GEOD-58498	25002228	Michael Stadler	14
E-GEOD-58498	25002228	Mathias Seeliger	15
E-GEOD-58498	25002228	Markus Stoffel	16
E-GEOD-58498	25002228	Witold Filipowicz	17
E-GEOD-58498	25002228	Botond Roska	18
E-GEOD-58905	25126783	Yongqiang Feng	1
E-GEOD-58905	25126783	Aaron Arvey	2
E-GEOD-58905	25126783	Takatoshi Chinen	3
E-GEOD-58905	25126783	Joris van der Veeken	4
E-GEOD-58905	25126783	Georg Gasteiger	5
E-GEOD-58905	25126783	Alexander Y Rudensky	6
E-GEOD-58971	25180063	Nicole Heise	1
E-GEOD-58971	25180063	Nilushi S De Silva	2
E-GEOD-58971	25180063	Kathryn Silva	3
E-GEOD-58971	25180063	Amanda Carette	4
E-GEOD-58971	25180063	Giorgia Simonetti	5
E-GEOD-58971	25180063	Manolis Pasparakis	6
E-GEOD-58971	25180063	Ulf Klein	7
E-GEOD-58972	25180063	Nicole Heise	1
E-GEOD-58972	25180063	Nilushi S De Silva	2
E-GEOD-58972	25180063	Kathryn Silva	3
E-GEOD-58972	25180063	Amanda Carette	4
E-GEOD-58972	25180063	Giorgia Simonetti	5
E-GEOD-58972	25180063	Manolis Pasparakis	6
E-GEOD-58972	25180063	Ulf Klein	7
E-GEOD-58973	25180063	Nicole Heise	1
E-GEOD-58973	25180063	Nilushi S De Silva	2
E-GEOD-58973	25180063	Kathryn Silva	3
E-GEOD-58973	25180063	Amanda Carette	4
E-GEOD-58973	25180063	Giorgia Simonetti	5
E-GEOD-58973	25180063	Manolis Pasparakis	6
